,Season,TeamID,Played,W,L,Win rate,Seed,Mean score
206,1985,1307,29,17,12,0.5862068965517241,0,69.14215686274511
207,1985,1308,27,7,20,0.25925925925925924,0,71.42142857142858
208,1985,1309,29,10,19,0.3448275862068966,0,67.97894736842105
209,1985,1310,27,15,12,0.5555555555555556,0,68.95833333333333
210,1985,1311,23,15,8,0.6521739130434783,0,70.84166666666667
211,1985,1312,0,0,0,0.0,0,
212,1985,1313,0,0,0,0.0,0,
213,1985,1314,31,23,8,0.7419354838709677,2,72.33967391304347
214,1985,1315,0,0,0,0.0,0,
215,1985,1316,0,0,0,0.0,0,
216,1985,1317,26,4,22,0.15384615384615385,0,66.2159090909091
217,1985,1318,28,20,8,0.7142857142857143,14,75.6875
218,1985,1319,26,14,12,0.5384615384615384,0,67.95833333333333
219,1985,1320,24,8,16,0.3333333333333333,0,65.0
220,1985,1321,26,4,22,0.15384615384615385,0,59.05681818181819
221,1985,1322,24,1,23,0.041666666666666664,0,69.13043478260869
222,1985,1323,28,20,8,0.7142857142857143,7,69.225
223,1985,1324,0,0,0,0.0,0,
224,1985,1325,27,20,7,0.7407407407407407,14,67.65357142857144
225,1985,1326,28,19,9,0.6785714285714286,4,76.73099415204678
226,1985,1327,22,3,19,0.13636363636363635,0,67.84210526315789
227,1985,1328,30,25,5,0.8333333333333334,1,83.9
228,1985,1329,26,11,15,0.4230769230769231,0,74.26060606060605
229,1985,1330,29,18,11,0.6206896551724138,12,72.52525252525251
230,1985,1331,29,14,15,0.4827586206896552,0,74.47380952380952
231,1985,1332,29,13,16,0.4482758620689655,0,62.14663461538461
232,1985,1333,29,21,8,0.7241379310344828,10,60.26488095238095
233,1985,1334,26,7,19,0.2692307692307692,0,66.6842105263158
234,1985,1335,26,13,13,0.5,15,68.34615384615384
235,1985,1336,24,5,19,0.20833333333333334,0,66.02105263157895
236,1985,1337,27,20,7,0.7407407407407407,14,75.91428571428571
237,1985,1338,26,15,11,0.5769230769230769,12,69.31515151515151
238,1985,1339,24,10,14,0.4166666666666667,0,61.85714285714286
239,1985,1340,0,0,0,0.0,0,
240,1985,1341,26,5,21,0.19230769230769232,0,72.94761904761904
241,1985,1342,0,0,0,0.0,0,
242,1985,1343,24,9,15,0.375,0,54.888888888888886
243,1985,1344,29,10,19,0.3448275862068966,0,66.8842105263158
244,1985,1345,25,17,8,0.68,6,68.59191176470588
245,1985,1346,0,0,0,0.0,0,
246,1985,1347,26,14,12,0.5384615384615384,0,65.94047619047619
247,1985,1348,26,6,20,0.23076923076923078,0,65.28333333333333
248,1985,1349,24,8,16,0.3333333333333333,0,63.53125
249,1985,1350,29,19,10,0.6551724137931034,0,66.71315789473684
250,1985,1351,26,11,15,0.4230769230769231,0,69.47878787878787
251,1985,1352,26,7,19,0.2692307692307692,0,67.27443609022556
252,1985,1353,30,16,14,0.5333333333333333,0,72.61607142857143
253,1985,1354,24,9,15,0.375,0,69.78888888888889
254,1985,1355,0,0,0,0.0,0,
255,1985,1356,26,12,14,0.46153846153846156,0,73.18452380952381
256,1985,1357,0,0,0,0.0,0,
257,1985,1358,0,0,0,0.0,0,
258,1985,1359,26,15,11,0.5769230769230769,0,74.31818181818181
259,1985,1360,23,12,11,0.5217391304347826,0,60.47727272727273
260,1985,1361,30,23,7,0.7666666666666667,13,78.11490683229813
261,1985,1362,0,0,0,0.0,0,
262,1985,1363,27,14,13,0.5185185185185185,0,69.43681318681318
263,1985,1364,26,10,16,0.38461538461538464,0,69.25
264,1985,1365,24,16,8,0.6666666666666666,0,70.40625
265,1985,1366,0,0,0,0.0,0,
266,1985,1367,0,0,0,0.0,0,
267,1985,1368,23,15,8,0.6521739130434783,0,70.6625
268,1985,1369,0,0,0,0.0,0,
269,1985,1370,0,0,0,0.0,0,
270,1985,1371,25,7,18,0.28,0,73.55158730158729
271,1985,1372,0,0,0,0.0,0,
272,1985,1373,27,20,7,0.7407407407407407,0,68.55357142857143
273,1985,1374,30,22,8,0.7333333333333333,5,73.51136363636363
274,1985,1375,27,14,13,0.5185185185185185,0,75.83516483516485
275,1985,1376,26,13,13,0.5,0,73.38461538461539
276,1985,1377,0,0,0,0.0,0,
277,1985,1378,28,17,11,0.6071428571428571,0,67.22459893048128
278,1985,1379,25,5,20,0.2,0,69.5
279,1985,1380,28,18,10,0.6428571428571429,16,82.25555555555556
280,1985,1381,0,0,0,0.0,0,
281,1985,1382,27,12,15,0.4444444444444444,0,65.2
282,1985,1383,24,3,21,0.125,0,57.19047619047619
283,1985,1384,26,8,18,0.3076923076923077,0,77.875
284,1985,1385,30,27,3,0.9,1,73.11111111111111
285,1985,1386,29,18,11,0.6206896551724138,0,63.5959595959596
286,1985,1387,25,10,15,0.4,0,64.25
287,1985,1388,23,11,12,0.4782608695652174,0,65.61363636363637
288,1985,1389,28,14,14,0.5,0,63.67857142857143
289,1985,1390,24,7,17,0.2916666666666667,0,66.59663865546219
290,1985,1391,24,10,14,0.4166666666666667,0,66.30714285714286
291,1985,1392,0,0,0,0.0,0,
292,1985,1393,29,21,8,0.7241379310344828,7,72.77380952380952
293,1985,1394,0,0,0,0.0,0,
294,1985,1395,25,13,12,0.52,0,66.67628205128206
295,1985,1396,29,24,5,0.8275862068965517,8,63.7125
296,1985,1397,32,18,14,0.5625,0,73.85317460317461
297,1985,1398,26,7,19,0.2692307692307692,0,65.75563909774436
298,1985,1399,23,15,8,0.6521739130434783,0,69.89166666666667
299,1985,1400,25,12,13,0.48,0,64.6025641025641
300,1985,1401,26,17,9,0.6538461538461539,0,66.88235294117646
301,1985,1402,25,6,19,0.24,0,64.09210526315789
302,1985,1403,29,22,7,0.7586206896551724,6,65.41558441558442
303,1985,1404,0,0,0,0.0,0,
304,1985,1405,27,15,12,0.5555555555555556,0,68.85833333333333
305,1985,1406,25,5,20,0.2,0,68.275
306,1985,1407,0,0,0,0.0,0,
307,1985,1408,27,14,13,0.5185185185185185,0,61.83791208791209
308,1985,1409,29,22,7,0.7586206896551724,6,78.21103896103897
309,1985,1410,24,8,16,0.3333333333333333,0,66.875
310,1985,1411,26,10,16,0.38461538461538464,0,71.2375
311,1985,1412,30,22,8,0.7333333333333333,7,64.67045454545455
312,1985,1413,0,0,0,0.0,0,
313,1985,1414,28,11,17,0.39285714285714285,0,78.10427807486631
314,1985,1415,0,0,0,0.0,0,
315,1985,1416,26,9,17,0.34615384615384615,0,61.64379084967321
316,1985,1417,27,15,12,0.5555555555555556,0,68.2
317,1985,1418,27,14,13,0.5185185185185185,0,74.25549450549451
318,1985,1419,27,15,12,0.5555555555555556,0,72.55
319,1985,1420,0,0,0,0.0,0,
320,1985,1421,0,0,0,0.0,0,
321,1985,1422,0,0,0,0.0,0,
322,1985,1423,25,9,16,0.36,0,65.72222222222223
323,1985,1424,30,27,3,0.9,4,73.62962962962963
324,1985,1425,28,19,9,0.6785714285714286,8,65.8625730994152
325,1985,1426,25,9,16,0.36,0,73.25694444444444
326,1985,1427,25,16,9,0.64,0,73.97222222222223
327,1985,1428,30,14,16,0.4666666666666667,0,71.14732142857143
328,1985,1429,27,16,11,0.5925925925925926,0,83.03977272727272
329,1985,1430,0,0,0,0.0,0,
330,1985,1431,29,20,9,0.6896551724137931,11,71.65277777777777
331,1985,1432,23,11,12,0.4782608695652174,0,63.6969696969697
332,1985,1433,30,25,5,0.8333333333333334,2,68.5
333,1985,1434,24,5,19,0.20833333333333334,0,66.1
334,1985,1435,28,11,17,0.39285714285714285,0,71.66577540106951
335,1985,1436,25,6,19,0.24,0,59.62719298245614
336,1985,1437,29,19,10,0.6551724137931034,8,70.11315789473684
337,1985,1438,28,13,15,0.4642857142857143,0,60.57435897435897
338,1985,1439,27,19,8,0.7037037037037037,9,78.60855263157895
339,1985,1440,26,12,14,0.46153846153846156,0,59.220238095238095
340,1985,1441,25,11,14,0.44,0,72.48051948051948
341,1985,1442,24,11,13,0.4583333333333333,0,68.5944055944056
342,1985,1443,27,13,14,0.48148148148148145,0,70.23076923076923
343,1985,1444,25,9,16,0.36,0,76.27083333333334
344,1985,1445,0,0,0,0.0,0,
345,1985,1446,24,7,17,0.2916666666666667,0,70.49579831932773
346,1985,1447,24,8,16,0.3333333333333333,0,76.03125
347,1985,1448,27,14,13,0.5185185185185185,0,71.76373626373626
348,1985,1449,31,22,9,0.7096774193548387,5,62.628787878787875
349,1985,1450,26,11,15,0.4230769230769231,0,64.52121212121212
350,1985,1451,26,17,9,0.6538461538461539,0,75.359477124183
351,1985,1452,26,18,8,0.6923076923076923,0,66.8125
352,1985,1453,24,2,22,0.08333333333333333,0,62.0
353,1985,1454,0,0,0,0.0,0,
354,1985,1455,29,17,12,0.5862068965517241,11,75.62990196078431
355,1985,1456,27,15,12,0.5555555555555556,0,65.25833333333333
356,1985,1457,0,0,0,0.0,0,
357,1985,1458,26,12,14,0.46153846153846156,0,68.91071428571428
358,1985,1459,0,0,0,0.0,0,
359,1985,1460,0,0,0,0.0,0,
360,1985,1461,26,12,14,0.46153846153846156,0,63.93452380952381
361,1985,1462,28,15,13,0.5357142857142857,0,71.35641025641024
362,1985,1463,23,11,12,0.4782608695652174,0,67.4090909090909
363,1985,1464,27,16,11,0.5925925925925926,0,67.98295454545455
364,1985,1465,0,0,0,0.0,0,
365,1985,1466,0,0,0,0.0,0,
366,1985,1467,0,0,0,0.0,0,
367,1986,1101,0,0,0,0.0,0,
368,1986,1102,25,6,19,0.24,0,61.276315789473685
369,1986,1103,25,18,7,0.72,15,72.08333333333334
370,1986,1104,30,22,8,0.7333333333333333,5,72.33522727272728
371,1986,1105,0,0,0,0.0,0,
372,1986,1106,24,8,16,0.3333333333333333,0,80.5625
373,1986,1107,0,0,0,0.0,0,
374,1986,1108,25,14,11,0.56,0,75.01948051948052
375,1986,1109,24,5,19,0.20833333333333334,0,90.67894736842106
376,1986,1110,25,7,18,0.28,0,70.24603174603175
377,1986,1111,25,13,12,0.52,0,62.30769230769231
378,1986,1112,29,21,8,0.7241379310344828,9,66.14285714285714
379,1986,1113,25,11,14,0.44,0,68.9512987012987
380,1986,1114,30,21,9,0.7,14,78.04761904761904
381,1986,1115,0,0,0,0.0,0,
382,1986,1116,28,12,16,0.42857142857142855,0,70.21875
383,1986,1117,25,14,11,0.56,0,67.86363636363636
384,1986,1118,0,0,0,0.0,0,
385,1986,1119,26,8,18,0.3076923076923077,0,61.93055555555556
386,1986,1120,27,17,10,0.6296296296296297,8,69.75
387,1986,1121,25,8,17,0.32,0,67.47794117647058
388,1986,1122,26,12,14,0.46153846153846156,0,69.32142857142857
389,1986,1123,29,20,9,0.6896551724137931,14,71.08611111111111
390,1986,1124,23,7,16,0.30434782608695654,0,57.1875
391,1986,1125,0,0,0,0.0,0,
392,1986,1126,29,7,22,0.2413793103448276,0,71.07142857142857
393,1986,1127,0,0,0,0.0,0,
394,1986,1128,0,0,0,0.0,0,
395,1986,1129,25,10,15,0.4,0,65.6
396,1986,1130,27,12,15,0.4444444444444444,0,72.89166666666667
397,1986,1131,29,20,9,0.6896551724137931,0,68.63888888888889
398,1986,1132,26,7,19,0.2692307692307692,0,70.09398496240601
399,1986,1133,32,30,2,0.9375,7,69.25
400,1986,1134,27,6,21,0.2222222222222222,0,68.47619047619048
401,1986,1135,24,14,10,0.5833333333333334,15,72.40714285714284
402,1986,1136,0,0,0,0.0,0,
403,1986,1137,25,13,12,0.52,0,67.78846153846155
404,1986,1138,0,0,0,0.0,0,
405,1986,1139,24,5,19,0.20833333333333334,0,67.66842105263157
406,1986,1140,29,16,13,0.5517241379310345,0,71.81971153846155
407,1986,1141,25,8,17,0.32,0,66.61764705882354
408,1986,1142,0,0,0,0.0,0,
409,1986,1143,26,17,9,0.6538461538461539,0,65.06862745098039
410,1986,1144,23,5,18,0.21739130434782608,0,63.2
411,1986,1145,27,19,8,0.7037037037037037,0,63.75
412,1986,1146,0,0,0,0.0,0,
413,1986,1147,27,10,17,0.37037037037037035,0,72.39117647058823
414,1986,1148,0,0,0,0.0,0,
415,1986,1149,24,15,9,0.625,0,72.52222222222221
416,1986,1150,25,5,20,0.2,0,70.675
417,1986,1151,27,18,9,0.6666666666666666,0,67.86111111111111
418,1986,1152,24,18,6,0.75,0,71.75
419,1986,1153,26,10,16,0.38461538461538464,0,69.73125
420,1986,1154,24,8,16,0.3333333333333333,0,73.15625
421,1986,1155,31,17,14,0.5483870967741935,0,73.99159663865547
422,1986,1156,27,24,3,0.8888888888888888,14,84.83333333333333
423,1986,1157,0,0,0,0.0,0,
424,1986,1158,0,0,0,0.0,0,
425,1986,1159,22,0,22,0.0,0,47.40909090909091
426,1986,1160,26,6,20,0.23076923076923078,0,74.90833333333333
427,1986,1161,26,8,18,0.3076923076923077,0,65.5625
428,1986,1162,24,10,14,0.4166666666666667,0,65.13571428571429
429,1986,1163,27,11,16,0.4074074074074074,0,68.45738636363637
430,1986,1164,25,8,17,0.32,0,63.88602941176471
431,1986,1165,25,13,12,0.52,0,61.99038461538461
432,1986,1166,25,9,16,0.36,0,59.84722222222222
433,1986,1167,0,0,0,0.0,0,
434,1986,1168,29,14,15,0.4827586206896552,0,68.46904761904761
435,1986,1169,0,0,0,0.0,0,
436,1986,1170,0,0,0,0.0,0,
437,1986,1171,22,8,14,0.36363636363636365,0,62.73214285714286
438,1986,1172,26,16,10,0.6153846153846154,16,67.0875
439,1986,1173,29,17,12,0.5862068965517241,0,70.4264705882353
440,1986,1174,23,8,15,0.34782608695652173,0,72.46666666666667
441,1986,1175,27,10,17,0.37037037037037035,0,67.76764705882353
442,1986,1176,0,0,0,0.0,0,
443,1986,1177,28,16,12,0.5714285714285714,12,68.30208333333333
444,1986,1178,26,11,15,0.4230769230769231,0,66.48787878787878
445,1986,1179,26,16,10,0.6153846153846154,0,63.85625
446,1986,1180,26,16,10,0.6153846153846154,15,72.80625
447,1986,1181,34,32,2,0.9411764705882353,1,83.0
448,1986,1182,28,14,14,0.5,0,70.35714285714286
449,1986,1183,28,15,13,0.5357142857142857,0,73.07435897435897
450,1986,1184,24,6,18,0.25,0,67.58333333333333
451,1986,1185,26,8,18,0.3076923076923077,0,72.34027777777777
452,1986,1186,24,16,8,0.6666666666666666,0,67.375
453,1986,1187,24,8,16,0.3333333333333333,0,60.5625
454,1986,1188,0,0,0,0.0,0,
455,1986,1189,0,0,0,0.0,0,
456,1986,1190,27,11,16,0.4074074074074074,0,75.35511363636363
457,1986,1191,26,7,19,0.2692307692307692,0,64.52631578947368
458,1986,1192,26,18,8,0.6923076923076923,0,70.61805555555556
459,1986,1193,29,23,6,0.7931034482758621,13,64.32246376811594
460,1986,1194,0,0,0,0.0,0,
461,1986,1195,0,0,0,0.0,0,
462,1986,1196,28,16,12,0.5714285714285714,0,70.20833333333334
463,1986,1197,25,9,16,0.36,0,77.49652777777777
464,1986,1198,0,0,0,0.0,0,
465,1986,1199,26,9,17,0.34615384615384615,0,77.23856209150327
466,1986,1200,29,13,16,0.4482758620689655,0,62.20192307692308
467,1986,1201,28,13,15,0.4642857142857143,0,57.06153846153846
468,1986,1202,23,6,17,0.2608695652173913,0,67.34313725490196
469,1986,1203,25,9,16,0.36,0,70.72569444444444
470,1986,1204,24,11,13,0.4583333333333333,0,64.37762237762237
471,1986,1205,0,0,0,0.0,0,
472,1986,1206,29,18,11,0.6206896551724138,0,69.96717171717171
473,1986,1207,27,20,7,0.7407407407407407,4,75.20357142857142
474,1986,1208,28,16,12,0.5714285714285714,0,76.8125
475,1986,1209,24,7,17,0.2916666666666667,0,75.39075630252101
476,1986,1210,30,24,6,0.8,2,70.39583333333334
477,1986,1211,24,12,12,0.5,0,66.375
478,1986,1212,22,10,12,0.45454545454545453,0,62.04166666666667
479,1986,1213,0,0,0,0.0,0,
480,1986,1214,0,0,0,0.0,0,
481,1986,1215,24,12,12,0.5,0,70.79166666666667
482,1986,1216,28,12,16,0.42857142857142855,0,62.833333333333336
483,1986,1217,22,4,18,0.18181818181818182,0,60.55555555555556
484,1986,1218,27,4,23,0.14814814814814814,0,72.72282608695653
